governor.position,governor.word,governor.tag,governor.category,governors.parent.category,conjunction.word,conjunction.tag,coordination.category,coordinations.parent.category,antecedent.category,no.conjuncts,L.conjunct,L.category,L.head.word,L.head.tag,L.head.category,L.words,L.tokens,L.syllables,L.chars,R.conjunct,R.category,R.head.word,R.head.tag,R.head.category,R.words,R.tokens,R.syllables,R.chars,sentence,sent_id,double.governor
L,jest,fin:sg:ter:imperf,formaczas,fwe,",",interp,fno,fw,zdanie,4,sztuka,fno,sztuka,subst:sg:nom:f,formarzecz,1,1,2,6,poeci,fno,poeci,subst:pl:nom:m1,formarzecz,1,1,3,5,"Siłą Brytanii jest sztuka, nasi pisarze, malarze, poeci.",NKJP_1M_1202910000001/morph_2-p/morph_2.69-s,
0,,,,,i,conj,fno,fw,,2,The Beach Boys,fno,The,subst:sg:nom:n,formarzecz,3,3,5,14,pieprzeni Doorsi,fno,Doorsi,subst:pl:nom:m1,formarzecz,2,2,5,16,The Beach Boys i pieprzeni Doorsi.,NKJP_1M_1202910000001/morph_2-p/morph_2.57-s,
L,brakuje,fin:sg:ter:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,2,K-2,fno,K-2,subst:sg:gen:m3,formarzecz,1,1,2,3,Makalu,fno,Makalu,subst:sg:gen:m3,formarzecz,1,1,3,6,Do kompletu brakuje mu K-2 i Makalu.,NKJP_1M_1202910000001/morph_52-p/morph_52.52-s,
L,rozcieńczają,fin:pl:ter:imperf,formaczas,fwe,oraz,conj,fno,fw,fwe,2,wodą,fno,wodą,subst:sg:inst:f,formarzecz,1,1,2,4,lodem,fno,lodem,subst:sg:inst:m3,formarzecz,1,1,2,5,Dla uspokojenia sumienia niektórzy rozcieńczają ją wodą oraz lodem i spożywają po zachodzie słońca.,NKJP_1M_1202910000001/morph_71-p/morph_71.49-s,
0,,,,,i,conj,fwe,ff,,2,rozcieńczają ją wodą oraz lodem,fwe,rozcieńczają,fin:pl:ter:imperf,formaczas,5,5,11,31,spożywają po zachodzie słońca,fwe,spożywają,fin:pl:ter:imperf,formaczas,4,4,10,29,Dla uspokojenia sumienia niektórzy rozcieńczają ją wodą oraz lodem i spożywają po zachodzie słońca.,NKJP_1M_1202910000001/morph_71-p/morph_71.49-s,
L,Korzystał,praet:sg:m1:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,6,Winston Churchill,fno,Winston,subst:sg:nom:m1,formarzecz,2,2,4,17,cała plejada gwiazd Hollywoodu,fno,plejada,subst:sg:nom:f,formarzecz,4,4,10,30,"Korzystał z niej Winston Churchill, Alan Edgar Poe, Ernest Hemingway, Sherlock Holmes, Frank Sinatra i cała plejada gwiazd Hollywoodu.",NKJP_1M_1202910000001/morph_71-p/morph_71.34-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Ręka ledwo pasowała do uchwytu narzędzia,zdanie,pasowała,praet:sg:f:imperf,formaczas,6,6,15,40,serce było całkowicie oddzielone od reszty świata klatką żeber i powłoką skóry,zdanie,było,praet:sg:n:imperf,formaczas,12,12,27,78,"Ręka ledwo pasowała do uchwytu narzędzia, serce było całkowicie oddzielone od reszty świata klatką żeber i powłoką skóry.",NKJP_1M_2004000080/morph_2-p/morph_2.77-s,
L,oddzielone,ppas:sg:nom:n:perf:aff,formaprzym,fpt,i,conj,fno,fw,fpt,2,klatką żeber,fno,klatką,subst:sg:inst:f,formarzecz,2,2,4,12,powłoką skóry,fno,powłoką,subst:sg:inst:f,formarzecz,2,2,5,13,"Ręka ledwo pasowała do uchwytu narzędzia, serce było całkowicie oddzielone od reszty świata klatką żeber i powłoką skóry.",NKJP_1M_2004000080/morph_2-p/morph_2.77-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Niczego tu dla nich nie było,zdanie,było,praet:sg:n:imperf,formaczas,6,6,9,28,wszędzie wokół odkrywali obcość,zdanie,odkrywali,praet:pl:m1:imperf,formaczas,4,4,10,31,"Niczego tu dla nich nie było, wszędzie wokół odkrywali obcość.",NKJP_1M_2004000080/morph_2-p/morph_2.89-s,
L,skusił,praet:sg:m3:perf,formaczas,fwe,i,conj,fno,fno,zdanie,2,architekta,fno,architekta,subst:sg:acc:m1,formarzecz,1,1,4,10,instruktora baloniarstwa,fno,instruktora,subst:sg:acc:m1,formarzecz,2,2,8,24,Milion dolarów skusił też architekta i instruktora baloniarstwa Kevina Uliassi.,NKJP_1M_1305000001365/morph_1-p/morph_1.40-s,
L,zauważył,praet:sg:m1:perf,formaczas,fwe,i,conj,fno,fno,zdanie,2,plomby,fno,plomby,subst:pl:acc:f,formarzecz,1,1,2,6,kłódki,fno,kłódki,subst:pl:acc:f,formarzecz,1,1,2,6,"Poinformował w nim, że około godz. 19.30 w poniedziałek wartownik wojskowy zauważył zerwane plomby i kłódki do garnizonowego składu amunicji.",NKJP_1M_1305000000346/morph_1-p/morph_1.40-s,
L,a,conj,spójnik,zdanie,i,conj,fwe,ff,zdanie,2,całuje mnie coraz czulej,fwe,całuje,fin:sg:ter:imperf,formaczas,4,4,8,24,mówi tak : „Dla ciebie namaluję za darmo ”,fwe,mówi,fin:sg:ter:imperf,formaczas,9,10,15,42,"Więc już orientuję się, że jestem w polskim banku, a blondynka całuje mnie coraz czulej i mówi tak: „Dla ciebie namaluję za darmo”.",NKJP_1M_2004000053/morph_2-p/morph_2.77-s,
L,Więc,conj,spójnik,wypowiedzenie,a,conj,zdanie,wypowiedzenie,wypowiedzenie,2,"już orientuję się, że jestem w polskim banku",zdanie,orientuję,fin:sg:pri:imperf,formaczas,8,9,14,44,blondynka całuje mnie coraz czulej i mówi tak : „Dla ciebie namaluję za darmo ”,zdanie,i,conj,spójnik,15,16,27,79,"Więc już orientuję się, że jestem w polskim banku, a blondynka całuje mnie coraz czulej i mówi tak: „Dla ciebie namaluję za darmo”.",NKJP_1M_2004000053/morph_2-p/morph_2.77-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,Jestto srebrna głowa jelenia w błękitnym polu,zdanie,Jest~to,fin:sg:ter:imperf~pred,formaczas,7,8,15,45,nad nią widnieją trzy złote gwiazdy,zdanie,widnieją,fin:pl:ter:imperf,formaczas,6,6,10,35,"Jest to srebrna głowa jelenia w błękitnym polu, a nad nią widnieją trzy złote gwiazdy.",NKJP_1M_1305000000530/morph_1-p/morph_1.17-s,
L,mówiła,praet:sg:f:imperf,formaczas,fwe,",",interp,fpm,fl,zdanie,2,pod koniec lutego,fpm,pod,prep:acc:nwok,przyimek,3,3,6,17,w czasie wizyty ministra Janiszewskiego w Rosji,fpm,w,prep:loc:nwok,przyimek,7,7,17,47,"Po raz pierwszy o problemach wywołanych importem polskiego cukru strona rosyjska mówiła pod koniec lutego, w czasie wizyty ministra Janiszewskiego w Rosji.",NKJP_1M_1305000000342/morph_1-p/morph_1.24-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,ZAIKS żąda od TeDe opłat za wykorzystywanie nagrań na antenie,zdanie,żąda,fin:sg:ter:imperf,formaczas,10,10,24,61,TeDe protestuje przeciwko obecnemu systemowi naliczania tantiem od całości przychodów stacji,zdanie,protestuje,fin:sg:ter:imperf,formaczas,11,11,32,92,"ZAIKS żąda od TeDe opłat za wykorzystywanie nagrań na antenie, a TeDe protestuje przeciwko obecnemu systemowi naliczania tantiem od całości przychodów stacji.",NKJP_1M_1305000000394/morph_1-p/morph_1.54-s,
L,ku,prep:dat,przyimek,fpm,i,conj,fno,fpm,fpm,2,rozkładowi,fno,rozkładowi,subst:sg:dat:m3,formarzecz,1,1,4,10,śmierci,fno,śmierci,subst:sg:dat:f,formarzecz,1,1,2,7,Ośrodek energii twórczej nieustannie pracuje przeciwko naturalnej tendencji ku rozkładowi i śmierci.,NKJP_1M_3202000000089/morph_3-p/morph_3.59-s,
0,,,,,i,conj,fwe,ff,,2,trwa,fwe,trwa,fin:sg:ter:imperf,formaczas,1,1,1,4,"zostaje wzmocniony, kiedy nowa niezwykła dusza pojawi się w odpowiedniej chwili",fwe,zostaje,fin:sg:ter:imperf,formaczas,11,12,26,79,"Niewidzialny wpływ wielkich mistyków trwa i zostaje wzmocniony, kiedy nowa niezwykła dusza pojawi się w odpowiedniej chwili.",NKJP_1M_3202000000089/morph_2-p/morph_2.51-s,
0,,,,,ale,conj,zdanie,wypowiedzenie,,2,Zwyczajne życie religijne przechowuje coś z mistycznego ognia,zdanie,przechowuje,fin:sg:ter:imperf,formaczas,8,8,21,61,wymagania materialnej egzystencji przytłumiają go,zdanie,przytłumiają,fin:pl:ter:imperf,formaczas,5,5,17,49,"Zwyczajne życie religijne przechowuje coś z mistycznego ognia, ale wymagania materialnej egzystencji przytłumiają go.",NKJP_1M_3202000000089/morph_2-p/morph_2.16-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Zamawiam śledzia i zupę borowikową,zdanie,Zamawiam,fin:sg:pri:imperf,formaczas,5,5,13,34,na chwilę mi przechodzi,zdanie,przechodzi,fin:sg:ter:imperf,formaczas,4,4,7,23,Zamawiam śledzia i zupę borowikową i na chwilę mi przechodzi.,NKJP_1M_2004000050/morph_3-p/morph_3.11-s,
L,Zamawiam,fin:sg:pri:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,2,śledzia,fno,śledzia,subst:sg:acc:m2,formarzecz,1,1,2,7,zupę borowikową,fno,zupę,subst:sg:acc:f,formarzecz,2,2,7,15,Zamawiam śledzia i zupę borowikową i na chwilę mi przechodzi.,NKJP_1M_2004000050/morph_3-p/morph_3.11-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Zjadam,zdanie,Zjadam,fin:sg:pri:imperf,formaczas,1,1,2,6,znów postanawiam wyjaśnić sprawę,zdanie,postanawiam,fin:sg:pri:imperf,formaczas,4,4,10,32,Zjadam i znów postanawiam wyjaśnić sprawę.,NKJP_1M_2004000050/morph_3-p/morph_3.18-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Ważę trzy kilo,zdanie,Ważę,fin:sg:pri:imperf,formaczas,3,3,5,14,mam cztery włosy i fajnych rodziców,zdanie,mam,fin:sg:pri:imperf,formaczas,6,6,11,35,"Ważę trzy kilo, mam cztery włosy i fajnych rodziców.",NKJP_1M_2004000050/morph_1-p/morph_1.17-s,
L,mam,fin:sg:pri:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,2,cztery włosy,fno,cztery,num:pl:acc:m3:congr,formalicz,2,2,4,12,fajnych rodziców,fno,rodziców,subst:pl:acc:m1,formarzecz,2,2,5,16,"Ważę trzy kilo, mam cztery włosy i fajnych rodziców.",NKJP_1M_2004000050/morph_1-p/morph_1.17-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Leżę w łóżku,zdanie,Leżę,fin:sg:pri:imperf,formaczas,3,3,5,12,"wymyślam, jakiego SMS-a wyślę do znajomych zaraz po urodzeniu Tosi",zdanie,wymyślam,fin:sg:pri:imperf,formaczas,10,11,22,66,"- Leżę w łóżku i wymyślam, jakiego SMS-a wyślę do znajomych zaraz po urodzeniu Tosi.",NKJP_1M_2004000050/morph_1-p/morph_1.50-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,"Nie wiedziała, jak udzielić mu tych rad",zdanie,wiedziała,praet:sg:f:imperf,formaczas,7,8,11,39,"czuła, że śmiałby się znowu",zdanie,czuła,praet:sg:f:imperf,formaczas,5,7,8,27,"Nie wiedziała, jak udzielić mu tych rad, czuła, że śmiałby się znowu.",NKJP_1M_2002000066/morph_5-p/morph_5.35-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Wsparł się na łokciu,zdanie,Wsparł,praet:sg:m1:perf,formaczas,4,4,5,20,wyjrzał na polankę,zdanie,wyjrzał,praet:sg:m1:perf,formaczas,3,3,6,18,Wsparł się na łokciu i wyjrzał na polankę.,NKJP_1M_2002000066/morph_5-p/morph_5.52-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Przejdzie,zdanie,Przejdzie,fin:sg:ter:perf,formaczas,1,1,2,9,nie warto się przejmować,zdanie,warto,pred,formaczas,4,4,7,24,"- Przejdzie, nie warto się przejmować.",NKJP_1M_2002000066/morph_5-p/morph_5.43-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,"Nagrody z Krakowa, tych pięciu tysięcy, ciągle nie wypłacają",zdanie,wypłacają,fin:pl:ter:imperf,formaczas,9,11,20,60,nic oprócz tego nie zarobiłem,zdanie,zarobił~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,5,6,10,29,"Nagrody z Krakowa, tych pięciu tysięcy, ciągle nie wypłacają, a nic oprócz tego nie zarobiłem.",NKJP_1M_6114000000002/morph_2-p/morph_2.33-s,
L,że,comp,spójnik,fzd,i,conj,fwe,ff,fzd,2,często wpatruje się w księżyc,fwe,wpatruje,fin:sg:ter:imperf,formaczas,5,5,9,29,potem zamyślony wpisuje coś do notesu,fwe,wpisuje,fin:sg:ter:imperf,formaczas,6,6,14,37,"Spostrzegłem, że pan James Balmore często wpatruje się w księżyc i potem zamyślony wpisuje coś do notesu.",NKJP_1M_2002000102/morph_3-p/morph_3.67-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Nie paliłem,zdanie,palił~em,praet:sg:m1:imperf~aglt:sg:pri:imperf:wok,formaczas,2,3,4,11,umyłem zęby,zdanie,umył~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,2,3,5,11,– Nie paliłem i umyłem zęby...,NKJP_1M_2004000026/morph_1-p/morph_1.45-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Nie widzieli się miesiąc,zdanie,widzieli,praet:pl:m1:imperf,formaczas,4,4,7,24,musiał ponownie oswoić Gosię,zdanie,musiał,praet:sg:m1:imperf,formaczas,4,4,10,28,Nie widzieli się miesiąc i musiał ponownie oswoić Gosię.,NKJP_1M_2004000026/morph_1-p/morph_1.14-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,Kurde,zdanie,Kurde,interj,formawykrz,1,1,2,5,"ja myślałam, że jesz tylko sałatę",zdanie,myślała~m,praet:sg:f:imperf~aglt:sg:pri:imperf:nwok,formaczas,6,8,11,33,"– Kurde, a ja myślałam, że jesz tylko sałatę.",NKJP_1M_2004000026/morph_6-p/morph_6.34-s,
L,jesteś,fin:sg:sec:imperf,formaczas,fwe,i,conj,fpt,fw,zdanie,5,ładna,fpt,ładna,adj:sg:nom:f:pos,formaprzym,1,1,2,5,mądra,fpt,mądra,adj:sg:nom:f:pos,formaprzym,1,1,2,5,"A ty jesteś ładna, zgrabna, wysoka, miła i mądra...",NKJP_1M_2004000026/morph_6-p/morph_6.73-s,
L,za,prep:acc,przyimek,fpm,i,conj,fno,fpm,fpm,2,zmianę standardu,fno,zmianę,subst:sg:acc:f,formarzecz,2,2,5,16,inne niedogodności,fno,niedogodności,subst:pl:acc:f,formarzecz,2,2,7,18,W zamian białoruskie władze pomogą im w znalezieniu nowych pomieszczeń i wypłacą odszkodowanie za zmianę standardu i inne niedogodności.,NKJP_1M_1305000001984/morph_1-p/morph_1.56-s,
0,,,,,i,conj,fwe,ff,,2,pomogą im w znalezieniu nowych pomieszczeń,fwe,pomogą,fin:pl:ter:perf,formaczas,6,6,14,42,wypłacą odszkodowanie za zmianę standardu i inne niedogodności,fwe,wypłacą,fin:pl:ter:perf,formaczas,8,8,22,62,W zamian białoruskie władze pomogą im w znalezieniu nowych pomieszczeń i wypłacą odszkodowanie za zmianę standardu i inne niedogodności.,NKJP_1M_1305000001984/morph_1-p/morph_1.56-s,
L,na,prep:acc,przyimek,fpm,i,conj,fno,fno,fpm,2,uprzątnięcie,fno,uprzątnięcie,ger:sg:acc:n:perf:aff,formarzecz,1,1,4,12,opuszczenie,fno,opuszczenie,ger:sg:acc:n:perf:aff,formarzecz,1,1,4,11,"Zgodnie z porozumieniem zawartym z Unią Europejską, dyplomaci mają miesiąc na uprzątnięcie i opuszczenie swoich rezydencji w Drozdach.",NKJP_1M_1305000001984/morph_1-p/morph_1.36-s,
L,przykładu,subst:sg:gen:m3,formarzecz,fno,oraz,conj,fwe,ff,fno,2,współrealizuje budowę hali - sportowej widowiskowo w Bielsku,fwe,współrealizuje,fin:sg:ter:imperf,formaczas,8,8,23,60,dotuje budowę krytego basenu kąpielowego,fwe,dotuje,fin:sg:ter:imperf,formaczas,5,5,17,40,Dla przykładu: FSM współrealizuje budowę hali widowiskowo-sportowej w Bielsku oraz dotuje budowę krytego basenu kąpielowego.,NKJP_1M_1202900072/morph_6-p/morph_6.33-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,4,"Masz chłonny umysł, zdolności organizacyjne",zdanie,Masz,fin:sg:sec:imperf,formaczas,5,6,14,43,nie musisz obawiać się o wyniki swego działania,zdanie,musisz,fin:sg:sec:imperf,formaczas,8,8,16,47,"Masz chłonny umysł, zdolności organizacyjne, jesteś dalekowzroczny, posiadasz zdolność przewidywania i nie musisz obawiać się o wyniki swego działania.",NKJP_1M_3302000020/morph_13-p/morph_13.23-s,
L,Masz,fin:sg:sec:imperf,formaczas,fwe,",",interp,fno,fw,zdanie,2,chłonny umysł,fno,umysł,subst:sg:acc:m3,formarzecz,2,2,4,13,zdolności organizacyjne,fno,zdolności,subst:pl:acc:f,formarzecz,2,2,9,23,"Masz chłonny umysł, zdolności organizacyjne, jesteś dalekowzroczny, posiadasz zdolność przewidywania i nie musisz obawiać się o wyniki swego działania.",NKJP_1M_3302000020/morph_13-p/morph_13.23-s,
L,przeprowadzania,ger:sg:gen:n:imperf:aff,formarzecz,fno,czy,conj,fno,fw,fno,2,swoich planów,fno,planów,subst:pl:gen:m3,formarzecz,2,2,4,13,"idei, aby je następnie wyciągnąć na światło dzienne",fno,idei,subst:pl:gen:f,formarzecz,8,9,17,51,"Masz również pewne skłonności do potajemnego przeprowadzania swoich planów czy idei, aby je następnie wyciągnąć na światło dzienne.",NKJP_1M_3302000020/morph_13-p/morph_13.70-s,
L,dzięki,prep:dat,przyimek,fpm,i,conj,fno,fpm,fpm,2,swej pracy,fno,pracy,subst:sg:dat:f,formarzecz,2,2,3,10,zawodowi,fno,zawodowi,subst:sg:dat:m3,formarzecz,1,1,4,8,Będziesz mieć prawdopodobnie zyski dzięki swej pracy i zawodowi.,NKJP_1M_3302000020/morph_13-p/morph_13.33-s,
R,sposób,subst:sg:acc:m3,formarzecz,fno,i,conj,fpt,fno,fno,2,niezależny,fpt,niezależny,adj:sg:acc:m3:pos,formaprzym,1,1,4,10,wolny,fpt,wolny,adj:sg:acc:m3:pos,formaprzym,1,1,2,5,"Nie poddając się ograniczeniom, eksponujesz w niezależny i wolny sposób sprawy, które cię cieszą.",NKJP_1M_3302000020/morph_13-p/morph_13.50-s,
L,dla,prep:gen,przyimek,fpm,i,conj,fno,fpm,fpm,3,rodzeństwa,fno,rodzeństwa,subst:sg:gen:n,formarzecz,1,1,3,10,współpracowników,fno,współpracowników,subst:pl:gen:m1,formarzecz,1,1,5,16,"Jeżeli twoja Wenus jest dobrze aspektowana, masz wielki sentyment dla rodzeństwa, sąsiadów i współpracowników.",NKJP_1M_3302000020/morph_17-p/morph_17.32-s,
L,Cieszą,fin:pl:ter:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,3,kulturalne dążenia,fno,dążenia,subst:pl:nom:n,formarzecz,2,2,7,18,filozoficzne poglądy stymulujące intelektualnie,fno,poglądy,subst:pl:nom:m3,formarzecz,4,4,19,47,"Cieszą cię kulturalne dążenia, wytworne zabawy i filozoficzne poglądy stymulujące intelektualnie.",NKJP_1M_3302000020/morph_12-p/morph_12.30-s,
0,,,,,ale,conj,zdanie,wypowiedzenie,,2,"Jesteś szczery, prostolinijny",zdanie,Jesteś,fin:sg:sec:imperf,formaczas,3,4,9,29,prawdopodobnie swoje własne opinie będziesz zatrzymywać dla siebie,zdanie,zatrzymywać,inf:imperf,przyzlo,8,8,21,66,"Jesteś szczery, prostolinijny, ale prawdopodobnie swoje własne opinie będziesz zatrzymywać dla siebie.",NKJP_1M_3302000020/morph_12-p/morph_12.45-s,
L,Jesteś,fin:sg:sec:imperf,formaczas,fwe,",",interp,fpt,fw,zdanie,2,szczery,fpt,szczery,adj:sg:nom:m1:pos,formaprzym,1,1,2,7,prostolinijny,fpt,prostolinijny,adj:sg:nom:m1:pos,formaprzym,1,1,5,13,"Jesteś szczery, prostolinijny, ale prawdopodobnie swoje własne opinie będziesz zatrzymywać dla siebie.",NKJP_1M_3302000020/morph_12-p/morph_12.45-s,
R,przyciągają,fin:pl:ter:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,5,Twoja aktywność,fno,aktywność,subst:sg:nom:f,formarzecz,2,2,5,15,zdolność konwersacji,fno,zdolność,subst:sg:nom:f,formarzecz,2,2,6,20,"Twoja aktywność, inwencja, bystrość, wesołe usposobienie i zdolność konwersacji przyciągają przyjaciół.",NKJP_1M_3302000020/morph_8-p/morph_8.56-s,
L,sport,subst:sg:acc:m3,formarzecz,fno,",",interp,fno,fno,fno,2,lekkoatletykę,fno,lekkoatletykę,subst:sg:acc:f,formarzecz,1,1,6,13,ćwiczenia siłowe,fno,ćwiczenia,subst:pl:acc:n,formarzecz,2,2,6,16,"Lubisz sport (lekkoatletykę, ćwiczenia siłowe), a także możesz mieć pewne skłonności do wojskowości, marynarki, odpowiada ci spartańskie wojskowe życie.",NKJP_1M_3302000020/morph_8-p/morph_8.41-s,
L,do,prep:gen,przyimek,fpm,",",interp,fno,fpm,fpm,2,wojskowości,fno,wojskowości,subst:sg:gen:f,formarzecz,1,1,4,11,marynarki,fno,marynarki,subst:sg:gen:f,formarzecz,1,1,4,9,"Lubisz sport (lekkoatletykę, ćwiczenia siłowe), a także możesz mieć pewne skłonności do wojskowości, marynarki, odpowiada ci spartańskie wojskowe życie.",NKJP_1M_3302000020/morph_8-p/morph_8.41-s,
L,a~także,conj~qub,spójnik,zdanie,",",interp,zdanie,zdanie,zdanie,2,"możesz mieć pewne skłonności do wojskowości, marynarki",zdanie,możesz,fin:sg:sec:imperf,formaczas,7,8,17,54,odpowiada ci spartańskie wojskowe życie,zdanie,odpowiada,fin:sg:ter:imperf,formaczas,5,5,13,39,"Lubisz sport (lekkoatletykę, ćwiczenia siłowe), a także możesz mieć pewne skłonności do wojskowości, marynarki, odpowiada ci spartańskie wojskowe życie.",NKJP_1M_3302000020/morph_8-p/morph_8.41-s,tak
R,a~także,conj~qub,spójnik,zdanie,a~także,conj~qub,zdanie,wypowiedzenie,wypowiedzenie,2,"Lubisz sport (lekkoatletykę, ćwiczenia siłowe)",zdanie,Lubisz,fin:sg:sec:imperf,formaczas,5,8,15,46,"możesz mieć pewne skłonności do wojskowości, marynarki, odpowiada ci spartańskie wojskowe życie",zdanie,",",interp,spójnik,12,14,30,95,"Lubisz sport (lekkoatletykę, ćwiczenia siłowe), a także możesz mieć pewne skłonności do wojskowości, marynarki, odpowiada ci spartańskie wojskowe życie.",NKJP_1M_3302000020/morph_8-p/morph_8.41-s,tak
L,sprawą,subst:sg:inst:f,formarzecz,fno,",",interp,fno,fno,fno,3,dziedziczenia,fno,dziedziczenia,subst:sg:gen:n,formarzecz,1,1,4,13,przyjaciół,fno,przyjaciół,subst:pl:gen:m1,formarzecz,1,1,3,10,"Pieniądze możesz zdobyć za sprawą dziedziczenia, małżeństwa, przyjaciół.",NKJP_1M_3302000020/morph_8-p/morph_8.67-s,
R,",",interp,spójnik,fpt,i,conj,fpt,fpt,fpt,2,szlachetny,fpt,szlachetny,adj:sg:nom:m1:pos,formaprzym,1,1,3,10,ambitny,fpt,ambitny,adj:sg:nom:m1:pos,formaprzym,1,1,3,7,"Jesteś szczery, liberalny, szlachetny i ambitny, pełen inwencji, wybitnie zdolny.",NKJP_1M_3302000020/morph_8-p/morph_8.15-s,
L,Jesteś,fin:sg:sec:imperf,formaczas,fwe,",",interp,fpt,fw,zdanie,5,szczery,fpt,szczery,adj:sg:nom:m1:pos,formaprzym,1,1,2,7,wybitnie zdolny,fpt,zdolny,adj:sg:nom:m1:pos,formaprzym,2,2,5,15,"Jesteś szczery, liberalny, szlachetny i ambitny, pełen inwencji, wybitnie zdolny.",NKJP_1M_3302000020/morph_8-p/morph_8.15-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,"Jesteś poważny, czujny, gotowy do walki, pełen niedowierzania innym, wątpliwości, lęku, smutku",zdanie,Jesteś,fin:sg:sec:imperf,formaczas,12,18,30,94,łatwo wpadasz w depresję,zdanie,wpadasz,fin:sg:sec:imperf,formaczas,4,4,8,24,"Jesteś poważny, czujny, gotowy do walki, pełen niedowierzania innym, wątpliwości, lęku, smutku, łatwo wpadasz w depresję.",NKJP_1M_3302000020/morph_11-p/morph_11.24-s,
L,pełen,adj:sg:nom:m1:pos,formaprzym,fpt,",",interp,fno,fw,fpt,4,niedowierzania innym,fno,niedowierzania,ger:sg:gen:n:imperf:neg,formarzecz,2,2,7,20,smutku,fno,smutku,subst:sg:gen:m3,formarzecz,1,1,2,6,"Jesteś poważny, czujny, gotowy do walki, pełen niedowierzania innym, wątpliwości, lęku, smutku, łatwo wpadasz w depresję.",NKJP_1M_3302000020/morph_11-p/morph_11.24-s,
L,Jesteś,fin:sg:sec:imperf,formaczas,fwe,",",interp,fpt,fw,zdanie,4,poważny,fpt,poważny,adj:sg:nom:m1:pos,formaprzym,1,1,3,7,"pełen niedowierzania innym, wątpliwości, lęku, smutku",fpt,pełen,adj:sg:nom:m1:pos,formaprzym,6,9,17,53,"Jesteś poważny, czujny, gotowy do walki, pełen niedowierzania innym, wątpliwości, lęku, smutku, łatwo wpadasz w depresję.",NKJP_1M_3302000020/morph_11-p/morph_11.24-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,Jesteś wrażliwy,zdanie,Jesteś,fin:sg:sec:imperf,formaczas,2,2,5,15,twoje intuicyjne zdolności powinny być właściwie ukierunkowane,zdanie,powinny,winien:pl:f:imperf,formaczas,7,7,23,62,"Jesteś wrażliwy, a twoje intuicyjne zdolności powinny być właściwie ukierunkowane.",NKJP_1M_3302000020/morph_2-p/morph_2.12-s,
L,pociągnąć,inf:perf,formaczas,fwe,czy,conj,fno,fw,fwe,2,stany depresyjne,fno,stany,subst:pl:acc:m3,formarzecz,2,2,6,16,chorobę,fno,chorobę,subst:sg:acc:f,formarzecz,1,1,3,7,"To położenie Raka daje niezwykłe możliwości intuicyjne i przeczuwanie nadchodzących zdarzeń, co może pociągnąć za sobą stany depresyjne czy chorobę.",NKJP_1M_3302000020/morph_23-p/morph_23.22-s,
L,daje,fin:sg:ter:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,2,niezwykłe możliwości intuicyjne,fno,możliwości,subst:pl:acc:f,formarzecz,3,3,12,31,przeczuwanie nadchodzących zdarzeń,fno,przeczuwanie,ger:sg:acc:n:imperf:aff,formarzecz,3,3,10,34,"To położenie Raka daje niezwykłe możliwości intuicyjne i przeczuwanie nadchodzących zdarzeń, co może pociągnąć za sobą stany depresyjne czy chorobę.",NKJP_1M_3302000020/morph_23-p/morph_23.22-s,
L,w,prep:loc:nwok,przyimek,fpm,lub,conj,fno,fpm,fpm,2,Skorpionie,fno,Skorpionie,subst:sg:loc:m2,formarzecz,1,1,3,10,Koziorożcu,fno,Koziorożcu,subst:sg:loc:m2,formarzecz,1,1,4,10,"Przy ascendencie w Skorpionie lub Koziorożcu, nieoczekiwane wydarzenia mogą skomplikować życie.",NKJP_1M_3302000020/morph_23-p/morph_23.35-s,
